,entity_id,score,label_value,majority_race,poverty-rate
1864,170310812011,0.0,0.0,White,0.00-1.80
1869,170310812012,0.0,0.0,White,1.80-9.58
1874,170310812013,0.0,0.0,White,0.00-1.80
1879,170310812021,0.0,0.0,White,0.00-1.80
1884,170310812022,0.0,0.0,White,0.00-1.80
1889,170310812023,0.0,0.0,White,0.00-1.80
1894,170310812024,0.0,0.0,White,1.80-9.58
1899,170310813001,0.0,0.0,White,0.00-1.80
1904,170310813002,0.0,0.0,White,22.42-100.00
1909,170310813003,0.0,0.0,White,0.00-1.80
1914,170310813004,0.0,0.0,White,0.00-1.80
1919,170310813005,0.0,0.0,White,1.80-9.58
1924,170310813006,0.0,0.0,White,0.00-1.80
1929,170310814011,0.0,0.0,White,0.00-1.80
1934,170310814012,0.0,0.0,White,1.80-9.58
1939,170310814021,1.0,1.0,White,0.00-1.80
1944,170310814022,0.0,0.0,White,0.00-1.80
1949,170310814023,0.0,0.0,White,1.80-9.58
1954,170310814031,0.0,1.0,White,0.00-1.80
1959,170310814032,0.0,0.0,None,0.00-1.80
1964,170310814033,0.0,0.0,White,0.00-1.80
1969,170310815001,0.0,0.0,White,1.80-9.58
1974,170310815002,0.0,0.0,White,0.00-1.80
1979,170310815003,0.0,0.0,White,1.80-9.58
1984,170310816001,0.0,0.0,White,0.00-1.80
1989,170310816002,0.0,0.0,White,0.00-1.80
1994,170310817001,0.0,0.0,White,0.00-1.80
1999,170310817002,0.0,0.0,White,0.00-1.80
2004,170310818001,0.0,0.0,White,0.00-1.80
2009,170310818002,0.0,0.0,White,0.00-1.80
2014,170310818003,0.0,0.0,White,9.58-22.42
2019,170310819001,0.0,0.0,None,9.58-22.42
2024,170310901001,0.0,0.0,White,0.00-1.80
2029,170310901002,0.0,0.0,White,1.80-9.58
2034,170310901003,0.0,0.0,White,0.00-1.80
2039,170310901004,0.0,0.0,White,0.00-1.80
2044,170310902001,0.0,0.0,White,0.00-1.80
2049,170310902002,0.0,0.0,White,0.00-1.80
2054,170310902003,0.0,0.0,White,0.00-1.80
2059,170310902004,0.0,0.0,White,0.00-1.80
2064,170310902005,0.0,0.0,White,0.00-1.80
2069,170310903001,0.0,0.0,White,1.80-9.58
2074,170311001001,0.0,0.0,White,22.42-100.00
2079,170311001002,0.0,0.0,White,0.00-1.80
2084,170311001003,0.0,0.0,White,0.00-1.80
2089,170311001004,0.0,0.0,White,22.42-100.00
2094,170311001005,0.0,0.0,White,0.00-1.80
2099,170311002001,0.0,0.0,White,0.00-1.80
2104,170311002002,0.0,0.0,White,0.00-1.80
2109,170311002003,0.0,0.0,White,1.80-9.58
2114,170311002004,0.0,0.0,White,0.00-1.80
2119,170311002005,0.0,0.0,White,0.00-1.80
2124,170311002006,0.0,0.0,White,0.00-1.80
2129,170311002007,0.0,0.0,White,9.58-22.42
2134,170311003001,0.0,0.0,White,9.58-22.42
2139,170311003002,0.0,0.0,White,0.00-1.80
2144,170311003003,0.0,0.0,White,1.80-9.58
2149,170311003004,0.0,0.0,White,9.58-22.42
2154,170311003005,0.0,0.0,White,0.00-1.80
2159,170311003006,0.0,0.0,White,0.00-1.80
2164,170311004001,0.0,0.0,White,0.00-1.80
2169,170311004002,0.0,0.0,White,9.58-22.42
2174,170311004003,0.0,0.0,White,0.00-1.80
2179,170311005001,0.0,0.0,White,0.00-1.80
2184,170311005002,0.0,0.0,White,0.00-1.80
2189,170311005003,0.0,0.0,White,0.00-1.80
2194,170311005004,0.0,0.0,White,0.00-1.80
2199,170311005005,0.0,0.0,White,0.00-1.80
2204,170311006001,0.0,0.0,White,1.80-9.58
2209,170311006002,0.0,0.0,White,0.00-1.80
2214,170311006003,0.0,0.0,White,1.80-9.58
2219,170311006004,0.0,0.0,White,1.80-9.58
2224,170311007001,0.0,0.0,White,0.00-1.80
2229,170311007002,0.0,0.0,White,1.80-9.58
2234,170311007003,0.0,0.0,White,9.58-22.42
2239,170311007004,0.0,0.0,White,9.58-22.42
2244,170311007005,0.0,0.0,White,1.80-9.58
2249,170311101001,0.0,0.0,White,9.58-22.42
2254,170311101002,0.0,0.0,White,0.00-1.80
2259,170311101003,0.0,0.0,None,22.42-100.00
2264,170311101004,0.0,0.0,White,0.00-1.80
2269,170311101005,0.0,0.0,White,0.00-1.80
2274,170311102001,0.0,0.0,White,1.80-9.58
2279,170311102002,0.0,0.0,White,9.58-22.42
2284,170311103001,0.0,0.0,White,0.00-1.80
2289,170311103002,0.0,0.0,White,1.80-9.58
2294,170311103003,0.0,0.0,White,1.80-9.58
2299,170311103004,0.0,0.0,White,1.80-9.58
2304,170311103005,0.0,0.0,None,9.58-22.42
2309,170311104001,0.0,0.0,White,1.80-9.58
2314,170311104002,0.0,0.0,White,1.80-9.58
2319,170311104003,0.0,0.0,White,0.00-1.80
2324,170311105011,0.0,0.0,White,0.00-1.80
2329,170311105012,0.0,0.0,White,1.80-9.58
2334,170311105013,0.0,0.0,White,1.80-9.58
2339,170311105014,0.0,0.0,White,22.42-100.00
2344,170311105015,0.0,0.0,White,0.00-1.80
2349,170311105021,0.0,0.0,White,22.42-100.00
2354,170311105022,0.0,0.0,White,9.58-22.42
2359,170311201001,0.0,0.0,White,1.80-9.58
2364,170311201002,0.0,0.0,White,1.80-9.58
2369,170311201003,0.0,0.0,White,1.80-9.58
2374,170311201004,0.0,0.0,White,0.00-1.80
2379,170311202001,0.0,0.0,White,1.80-9.58
2384,170311202002,0.0,0.0,White,0.00-1.80
2389,170311202003,0.0,0.0,White,0.00-1.80
2394,170311202004,0.0,0.0,White,1.80-9.58
2399,170311203001,0.0,0.0,White,0.00-1.80
2404,170311203002,0.0,0.0,None,0.00-1.80
2409,170311203003,0.0,0.0,White,0.00-1.80
2414,170311203004,0.0,0.0,White,9.58-22.42
2419,170311203005,0.0,0.0,White,0.00-1.80
2424,170311203006,0.0,0.0,White,0.00-1.80
2429,170311204001,0.0,0.0,White,0.00-1.80
2434,170311204002,0.0,0.0,White,0.00-1.80
2439,170311204003,0.0,0.0,None,9.58-22.42
2444,170311301001,0.0,0.0,None,9.58-22.42
2449,170311301002,0.0,0.0,White,0.00-1.80
2454,170311301003,0.0,0.0,White,1.80-9.58
2459,170311302001,0.0,0.0,White,1.80-9.58
2464,170311303001,0.0,0.0,White,22.42-100.00
2469,170311303002,0.0,0.0,White,0.00-1.80
2474,170311303003,0.0,0.0,None,9.58-22.42
2479,170311303004,0.0,0.0,None,1.80-9.58
2484,170311401001,0.0,0.0,Hispanic,22.42-100.00
2489,170311401002,0.0,0.0,None,22.42-100.00
2494,170311402001,0.0,0.0,None,22.42-100.00
2499,170311402002,0.0,0.0,None,1.80-9.58
2504,170311402003,0.0,0.0,Hispanic,9.58-22.42
2509,170311403011,0.0,0.0,Hispanic,22.42-100.00
2514,170311403012,0.0,0.0,None,22.42-100.00
2519,170311403021,0.0,0.0,Hispanic,22.42-100.00
2524,170311403022,0.0,0.0,None,1.80-9.58
2529,170311403023,0.0,0.0,None,22.42-100.00
2534,170311404001,0.0,0.0,None,9.58-22.42
2539,170311404002,0.0,0.0,None,0.00-1.80
2544,170311404003,0.0,0.0,White,0.00-1.80
2549,170311404004,0.0,0.0,None,1.80-9.58
2554,170311404005,0.0,0.0,White,9.58-22.42
2559,170311405001,0.0,0.0,None,0.00-1.80
2564,170311405002,0.0,0.0,Hispanic,9.58-22.42
2569,170311405003,0.0,0.0,None,9.58-22.42
2574,170311406011,0.0,0.0,Hispanic,9.58-22.42
2579,170311406021,0.0,0.0,Hispanic,9.58-22.42
2584,170311406022,0.0,1.0,Hispanic,9.58-22.42
